dmnd_pf_id,hy,value
3,0.0,5882.886063088
3,1.0,5647.643427842
3,2.0,5326.979294414
3,3.0,5209.424323166
3,4.0,5265.684468634
3,5.0,5230.92670837
3,6.0,5519.143683757
3,7.0,5747.419906677
3,8.0,6056.844594698
3,9.0,6361.786113705
3,10.0,6531.486131624
3,11.0,6493.88207162
3,12.0,6342.647143505
3,13.0,6302.402360448
3,14.0,6267.452194856
3,15.0,6563.298816091
3,16.0,7017.186878222
3,17.0,7040.852964414
3,18.0,6791.733931816
3,19.0,6516.296803296
3,20.0,6111.118659433
3,21.0,6177.580313149
3,22.0,5783.945247898
3,23.0,5516.828443046
3,24.0,5255.827295938
3,25.0,5158.901244871
3,26.0,4991.330187643
3,27.0,5117.179650178
3,28.0,5561.750184132
3,29.0,6076.173055261
3,30.0,6812.800828855
3,31.0,7210.840319308
3,32.0,7470.325544666
3,33.0,7588.060160869
3,34.0,7573.6703937
3,35.0,7449.195973413
3,36.0,7360.94727373
3,37.0,7366.331793938
3,38.0,7446.708689673
3,39.0,7785.608476331
3,40.0,8107.095511294
3,41.0,7942.920063955
3,42.0,7490.567429375
3,43.0,7019.527580876
3,44.0,6463.303953211
3,45.0,6458.887216517
3,46.0,6044.222709796
3,47.0,5704.111413583
3,48.0,5409.58636884
3,49.0,5169.817400044
3,50.0,5001.869692682
3,51.0,5029.452336542
3,52.0,5311.013315654
3,53.0,5596.462515981
3,54.0,6220.432540505
3,55.0,6638.384264268
3,56.0,6925.748501655
3,57.0,7086.328515882
3,58.0,7114.367803058
3,59.0,6960.5222945
3,60.0,6800.997423538
3,61.0,6793.802827903
3,62.0,6897.21937055
3,63.0,7245.530422561
3,64.0,7551.85982022
3,65.0,7362.153695954
3,66.0,6948.22157409
3,67.0,6595.545602147
3,68.0,6195.779638954
3,69.0,6253.173117429
3,70.0,5903.418178141
3,71.0,5558.052255801
3,72.0,5231.10274305
3,73.0,5057.977659427
3,74.0,4893.031682533
3,75.0,4926.487829394
3,76.0,5097.169128956
3,77.0,5209.494180881
3,78.0,5693.327691524
3,79.0,6023.228318011
3,80.0,6419.035906938
3,81.0,6676.420419461
3,82.0,6931.549017863
3,83.0,6736.133009988
3,84.0,6524.607074469
3,85.0,6392.969298359
3,86.0,6395.769762881
3,87.0,6787.55013726
3,88.0,7211.925195252
3,89.0,7237.527256101
3,90.0,7018.00824595
3,91.0,6715.523387768
3,92.0,6326.164459396
3,93.0,6346.825622839
3,94.0,5980.535737797
3,95.0,5681.530533472
3,96.0,5493.572727283
3,97.0,5348.523417578
3,98.0,5196.987395553
3,99.0,5269.769018292
3,100.0,5690.544150543
3,101.0,6218.277452587
3,102.0,6938.751685176
3,103.0,7385.716372764
3,104.0,7695.470479447
3,105.0,7848.45145528
3,106.0,7976.586156686
3,107.0,7909.132899906
3,108.0,7816.464018873
3,109.0,7824.723166432
3,110.0,7809.189534418
3,111.0,8018.262344586
3,112.0,8308.588812439
3,113.0,8225.338576118
3,114.0,7757.929193376
3,115.0,7241.205023521
3,116.0,6709.466705325
3,117.0,6733.620449772
3,118.0,6313.156453738
3,119.0,5936.832437562
3,120.0,5633.850137484
3,121.0,5452.346765422
3,122.0,5259.599179832
3,123.0,5267.836738106
3,124.0,5428.23980143
3,125.0,5515.505407829
3,126.0,5963.551619422
3,127.0,6277.129798254
3,128.0,6637.862487399
3,129.0,6912.725031829
3,130.0,7097.915124552
3,131.0,6846.602711124
3,132.0,6606.569386274
3,133.0,6450.373986479
3,134.0,6426.7956355
3,135.0,6786.760243633
3,136.0,7340.725660991
3,137.0,7396.00111212
3,138.0,7192.842565481
3,139.0,6923.274021383
3,140.0,6491.312450667
3,141.0,6579.646936453
3,142.0,6220.616776875
3,143.0,5991.912548102
3,144.0,5744.856377828
3,145.0,5628.800281081
3,146.0,5508.635255348
3,147.0,5652.349134431
3,148.0,6313.683010335
3,149.0,7394.83351402
3,150.0,8350.448450449
3,151.0,8641.115949534
3,152.0,8710.063352515
3,153.0,8795.807960152
3,154.0,8819.127486285
3,155.0,8727.648996862
3,156.0,8649.913550368
3,157.0,8590.056699864
3,158.0,8589.78143795
3,159.0,8827.280866811
3,160.0,9149.593950133
3,161.0,9008.657379063
3,162.0,8492.766245007
3,163.0,7982.229077363
3,164.0,7450.701668059
3,165.0,7338.428444718
3,166.0,6853.957513426
3,167.0,6584.464146619
3,168.0,6322.902185393
3,169.0,6191.839700007
3,170.0,6060.12758121
3,171.0,6156.401999069
3,172.0,6737.790307665
3,173.0,7735.426010694
3,174.0,8579.611683395
3,175.0,8893.244188939
3,176.0,8954.375028077
3,177.0,8984.308567092
3,178.0,9051.577694065
3,179.0,8843.245668781
3,180.0,8740.861748025
3,181.0,8654.267698692
3,182.0,8627.074171014
3,183.0,8806.744404469
3,184.0,9130.933474219
3,185.0,8996.648608512
3,186.0,8474.175893355
3,187.0,7978.037891852
3,188.0,7372.767566086
3,189.0,7216.706487099
3,190.0,6746.297810619
3,191.0,6414.384233738
3,192.0,6086.239732959
3,193.0,5897.172740138
3,194.0,5704.917172253
3,195.0,5922.334419556
3,196.0,6517.734268417
3,197.0,7441.427316298
3,198.0,8296.864236993
3,199.0,8645.620225037
3,200.0,8739.158251098
3,201.0,8765.587711491
3,202.0,8755.084474161
3,203.0,8491.406054063
3,204.0,8325.689919031
3,205.0,8305.266926279
3,206.0,8300.163063086
3,207.0,8620.954612585
3,208.0,8813.642846556
3,209.0,8637.837812482
3,210.0,8142.651769725
3,211.0,7612.596738824
3,212.0,7062.301599906
3,213.0,7016.114290981
3,214.0,6508.108014146
3,215.0,6150.774748491
3,216.0,5763.075799714
3,217.0,5515.544637258
3,218.0,5284.953046635
3,219.0,5252.677660419
3,220.0,5471.973036285
3,221.0,5765.184182261
3,222.0,6401.328893695
3,223.0,6868.566669329
3,224.0,7141.103669008
3,225.0,7311.917102913
3,226.0,7323.356015811
3,227.0,7041.654179261
3,228.0,6840.853799948
3,229.0,6707.886013152
3,230.0,6740.96421987
3,231.0,6942.838948064
3,232.0,7433.90292809
3,233.0,7300.27822262
3,234.0,6887.990744312
3,235.0,6490.870331887
3,236.0,6065.2769098
3,237.0,6134.791190289
3,238.0,5801.645695448
3,239.0,5466.534387169
3,240.0,5162.932869836
3,241.0,4980.544323458
3,242.0,4815.216672352
3,243.0,4845.480123115
3,244.0,4986.203182614
3,245.0,5100.658239619
3,246.0,5624.713649913
3,247.0,6101.218927913
3,248.0,6559.59175891
3,249.0,6975.838735839
3,250.0,7234.145225544
3,251.0,7087.959507599
3,252.0,6862.038318831
3,253.0,6690.143227401
3,254.0,6644.203640957
3,255.0,6897.897499949
3,256.0,7254.370624682
3,257.0,7337.565698512
3,258.0,7077.691383316
3,259.0,6778.901165549
3,260.0,6449.293478911
3,261.0,6597.386323823
3,262.0,6234.171744525
3,263.0,5973.370381605
3,264.0,5773.531896138
3,265.0,5620.639620046
3,266.0,5523.102308461
3,267.0,5724.935777587
3,268.0,6404.975266716
3,269.0,7508.176622952
3,270.0,8460.042862366
3,271.0,8686.362443191
3,272.0,8729.18871366
3,273.0,8763.566333632
3,274.0,8767.556487203
3,275.0,8535.948686249
3,276.0,8452.265018491
3,277.0,8306.061595288
3,278.0,8267.21592138
3,279.0,8530.063740388
3,280.0,8898.568665143
3,281.0,8787.979229368
3,282.0,8282.140770925
3,283.0,7804.440481431
3,284.0,7203.010249427
3,285.0,7066.382969349
3,286.0,6600.313879159
3,287.0,6269.350078999
3,288.0,6015.66068994
3,289.0,5857.728526684
3,290.0,5717.384004673
3,291.0,5903.801546766
3,292.0,6544.189376948
3,293.0,7590.389787595
3,294.0,8538.66235364
3,295.0,8738.016828918
3,296.0,8729.439674386
3,297.0,8676.284007412
3,298.0,8552.396992783
3,299.0,8317.442430118
3,300.0,8182.830213544
3,301.0,8180.787452195
3,302.0,8208.86663321
3,303.0,8428.51315104
3,304.0,8926.195110518
3,305.0,8858.457105552
3,306.0,8352.509804043
3,307.0,7828.8373866
3,308.0,7282.503433756
3,309.0,7091.016272307
3,310.0,6659.01091268
3,311.0,6305.960141052
3,312.0,6060.146720615
3,313.0,5924.683170214
3,314.0,5790.90880676
3,315.0,5935.883601377
3,316.0,6521.322967893
3,317.0,7574.753990677
3,318.0,8483.758443277
3,319.0,8723.173631925
3,320.0,8701.482182431
3,321.0,8738.056077976
3,322.0,8665.537147097
3,323.0,8467.253959203
3,324.0,8447.667230675
3,325.0,8415.946123114
3,326.0,8467.7626347
3,327.0,8683.808521162
3,328.0,9027.290625431
3,329.0,8857.961959277
3,330.0,8308.66486679
3,331.0,7775.712412828
3,332.0,7182.38193338
3,333.0,7023.033689702
3,334.0,6625.096258813
3,335.0,6291.114339668
3,336.0,6026.968568555
3,337.0,5906.322085256
3,338.0,5768.872985655
3,339.0,5912.594839569
3,340.0,6536.87889625
3,341.0,7638.971845662
3,342.0,8540.123673871
3,343.0,8707.334337564
3,344.0,8730.872495451
3,345.0,8798.647286843
3,346.0,8756.866966184
3,347.0,8567.873461696
3,348.0,8506.195933125
3,349.0,8423.242651415
3,350.0,8397.253524177
3,351.0,8644.734739394
3,352.0,9022.747948997
3,353.0,8948.433446845
3,354.0,8488.894073584
3,355.0,7988.018348657
3,356.0,7446.090342058
3,357.0,7272.182172067
3,358.0,6755.569420164
3,359.0,6377.661374607
3,360.0,6120.337592359
3,361.0,5980.214155688
3,362.0,5824.704938254
3,363.0,5958.388846607
3,364.0,6595.220700285
3,365.0,7594.412859815
3,366.0,8541.456776291
3,367.0,8758.246817203
3,368.0,8791.686152965
3,369.0,8743.11841718
3,370.0,8694.018317055
3,371.0,8356.931108909
3,372.0,8170.827463769
3,373.0,8053.253160212
3,374.0,8036.847003391
3,375.0,8255.572491263
3,376.0,8705.157811721
3,377.0,8568.545682875
3,378.0,8077.044155167
3,379.0,7479.523513332
3,380.0,6949.371031634
3,381.0,6881.887162652
3,382.0,6443.07369233
3,383.0,6118.782720755
3,384.0,5844.022347896
3,385.0,5639.907590216
3,386.0,5462.433695481
3,387.0,5429.832465259
3,388.0,5682.568671775
3,389.0,5997.733693318
3,390.0,6671.832816303
3,391.0,7179.705427414
3,392.0,7558.683559469
3,393.0,7729.466595868
3,394.0,7815.670709511
3,395.0,7605.642359629
3,396.0,7385.322779668
3,397.0,7268.310843505
3,398.0,7306.29421153
3,399.0,7435.180866984
3,400.0,7728.147705791
3,401.0,7602.722442168
3,402.0,7172.483911576
3,403.0,6855.595585271
3,404.0,6438.106042416
3,405.0,6459.351543794
3,406.0,6072.171846529
3,407.0,5726.770990216
3,408.0,5436.688205261
3,409.0,5300.770548019
3,410.0,5140.312585234
3,411.0,5122.300386667
3,412.0,5232.870346785
3,413.0,5365.243391105
3,414.0,5850.900943153
3,415.0,6219.878196869
3,416.0,6606.087607825
3,417.0,6889.962831405
3,418.0,7052.022433618
3,419.0,6846.213044981
3,420.0,6602.076402759
3,421.0,6465.75065249
3,422.0,6457.393487104
3,423.0,6714.432716834
3,424.0,7136.251957317
3,425.0,7272.157886218
3,426.0,7062.607179127
3,427.0,6811.881085701
3,428.0,6512.742808491
3,429.0,6621.335215243
3,430.0,6225.908227227
3,431.0,6009.183034163
3,432.0,5776.013592305
3,433.0,5644.517344197
3,434.0,5523.655369357
3,435.0,5748.220937726
3,436.0,6400.603724725
3,437.0,7514.326517658
3,438.0,8575.072823571
3,439.0,8904.195769073
3,440.0,8973.781323752
3,441.0,9030.006247612
3,442.0,9035.508064543
3,443.0,8808.856775349
3,444.0,8728.510801694
3,445.0,8644.224962285
3,446.0,8632.537762228
3,447.0,8794.026118774
3,448.0,9168.280909448
3,449.0,9095.762985638
3,450.0,8588.369667055
3,451.0,8031.24217831
3,452.0,7448.882522453
3,453.0,7265.023645464
3,454.0,6800.527240232
3,455.0,6520.770635696
3,456.0,6272.557809458
3,457.0,6158.313716809
3,458.0,6010.750853531
3,459.0,6141.54790784
3,460.0,6691.178203548
3,461.0,7781.211180937
3,462.0,8786.674566729
3,463.0,9041.112007421
3,464.0,9079.308304365
3,465.0,9153.066058739
3,466.0,9165.847186561
3,467.0,8939.949824105
3,468.0,8875.729375874
3,469.0,8816.760234093
3,470.0,8755.485888047
3,471.0,8857.365968893
3,472.0,9204.251084128
3,473.0,9137.800028097
3,474.0,8650.250059524
3,475.0,8103.082187935
3,476.0,7489.397164978
3,477.0,7344.267753035
3,478.0,6873.494773739
3,479.0,6604.680866399
3,480.0,6300.024715317
3,481.0,6128.65100891
3,482.0,6001.13961088
3,483.0,6161.776848735
3,484.0,6755.723384889
3,485.0,7803.287722804
3,486.0,8809.531265241
3,487.0,9074.959132397
3,488.0,9113.151759502
3,489.0,9157.318192288
3,490.0,9099.990084221
3,491.0,8900.24376767
3,492.0,8774.392518691
3,493.0,8660.779695548
3,494.0,8658.2741438
3,495.0,8754.587021081
3,496.0,9075.655911775
3,497.0,8971.771714725
3,498.0,8501.07004171
3,499.0,7942.968960156
3,500.0,7329.432192534
3,501.0,7182.385544605
3,502.0,6736.561350832
3,503.0,6398.236078692
3,504.0,6137.803531412
3,505.0,5953.624402259
3,506.0,5843.851415971
3,507.0,5970.273857872
3,508.0,6564.2738057
